Date,Time,Elapsed Seconds,Acceleration-X (g),Acceleration-Y (g),Acceleration-Z (g)
5/3/2021,2:10:53 AM,0.00,0.01,0.1,0.99
5/3/2021,2:10:53 AM,0.10,0.01,0.1,0.99
5/3/2021,2:10:53 AM,0.20,0.01,0.1,0.99
5/3/2021,2:10:53 AM,0.30,0.01,0.09,0.99
5/3/2021,2:10:53 AM,0.40,0.01,0.09,0.99
5/3/2021,2:10:53 AM,0.50,0.01,0.09,0.99
5/3/2021,2:10:53 AM,0.60,0.01,0.09,0.99
5/3/2021,2:10:53 AM,0.70,0.01,0.09,0.99
5/3/2021,2:10:54 AM,0.80,0.01,0.1,0.99
5/3/2021,2:10:54 AM,0.90,0.01,0.1,0.99
5/3/2021,2:10:54 AM,1.00,0.01,0.1,0.99
5/3/2021,2:10:54 AM,1.10,0.01,0.1,0.99
5/3/2021,2:10:54 AM,1.20,0.01,0.1,0.99
5/3/2021,2:10:54 AM,1.30,0.01,0.09,0.99
5/3/2021,2:10:54 AM,1.40,0.01,0.09,0.99
5/3/2021,2:10:54 AM,1.50,0.01,0.09,0.99
5/3/2021,2:10:54 AM,1.60,0.01,0.09,0.99
5/3/2021,2:10:54 AM,1.70,0.01,0.09,0.99
5/3/2021,2:10:55 AM,1.80,0.01,0.1,0.99
5/3/2021,2:10:55 AM,1.90,0.01,0.1,0.98
5/3/2021,2:10:55 AM,2.00,0.01,0.09,0.99
5/3/2021,2:10:55 AM,2.10,0.01,0.09,0.99
5/3/2021,2:10:55 AM,2.20,0.01,0.1,0.99
5/3/2021,2:10:55 AM,2.30,0.01,0.09,0.99
5/3/2021,2:10:55 AM,2.40,0.01,0.1,0.99
5/3/2021,2:10:55 AM,2.50,0.01,0.09,0.99
5/3/2021,2:10:55 AM,2.60,0.01,0.09,0.99
5/3/2021,2:10:55 AM,2.70,0.01,0.09,0.99
5/3/2021,2:10:56 AM,2.80,0.01,0.09,0.99
5/3/2021,2:10:56 AM,2.90,0.01,0.09,0.99
5/3/2021,2:10:56 AM,3.00,0.01,0.09,0.99
5/3/2021,2:10:56 AM,3.10,0.01,0.09,0.99
5/3/2021,2:10:56 AM,3.20,0.01,0.09,0.99
5/3/2021,2:10:56 AM,3.30,0.01,0.1,0.99
5/3/2021,2:10:56 AM,3.40,0.01,0.09,0.99
5/3/2021,2:10:56 AM,3.50,0.01,0.09,0.99
5/3/2021,2:10:56 AM,3.60,0.01,0.09,0.99
5/3/2021,2:10:56 AM,3.70,0.01,0.09,0.99
5/3/2021,2:10:57 AM,3.80,0.03,0.09,0.99
5/3/2021,2:10:57 AM,3.90,0.01,0.08,0.99
5/3/2021,2:10:57 AM,4.00,0.01,0.09,0.99
5/3/2021,2:10:57 AM,4.10,0.01,0.09,0.99
5/3/2021,2:10:57 AM,4.20,0.01,0.09,0.99
5/3/2021,2:10:57 AM,4.30,0.03,0.08,0.99
5/3/2021,2:10:57 AM,4.40,0.01,0.07,0.99
5/3/2021,2:10:57 AM,4.50,0.02,0.12,0.97
5/3/2021,2:10:57 AM,4.60,0.02,0.13,0.99
5/3/2021,2:10:57 AM,4.70,0.01,0.12,0.99
5/3/2021,2:10:58 AM,4.80,0.02,0.12,0.99
5/3/2021,2:10:58 AM,4.90,0.02,0.12,0.99
5/3/2021,2:10:58 AM,5.00,0.02,0.09,0.99
5/3/2021,2:10:58 AM,5.10,0.03,0.12,0.99
5/3/2021,2:10:58 AM,5.20,0.03,0.09,0.99
5/3/2021,2:10:58 AM,5.30,0.01,0.1,0.99
5/3/2021,2:10:58 AM,5.40,0.02,0.08,0.99
5/3/2021,2:10:58 AM,5.50,0.01,0.12,0.99
5/3/2021,2:10:58 AM,5.60,0.01,0.11,0.99
5/3/2021,2:10:58 AM,5.70,0.02,0.12,0.99
5/3/2021,2:10:59 AM,5.80,0,0.16,0.98
5/3/2021,2:10:59 AM,5.90,0,0.12,0.99
5/3/2021,2:10:59 AM,6.00,0.01,0.11,0.99
5/3/2021,2:10:59 AM,6.10,0,0.14,0.98
5/3/2021,2:10:59 AM,6.20,0,0.12,0.99
5/3/2021,2:10:59 AM,6.30,0,0.13,0.98
